Pokémon list

21.96, 31.24, 0
23.64, 36.47, 1
17.71, 31.44, 0
21.78, 33.21, 1
25.21, 36.56, 1
19.33, 32.25, 0
24.74, 35.33, 1
23.79, 38.1, 1
24.56, 36.73, 1
20.19, 35.07, 0
25.81, 35.56, 1
24.92, 34.46, 1
25.31, 34.12, 1
22.82, 34.26, 1
19.64, 34.56, 0
18.34, 31.4, 0
22.72, 34.84, 1
25.83, 33.16, 1
20.24, 32.79, 0
17.91, 28.89, 0
24.39, 37.34, 1
26.53, 35.22, 1
19.3, 30.49, 0
20.12, 31.89, 0
22.98, 35.32, 1
17.97, 32.48, 0
21.59, 30.98, 0
18.66, 33.04, 0
19.21, 31.42, 0
18.16, 29.94, 0
19.12, 30.7, 0
25.18, 34.39, 1
18.58, 31.32, 0
24.69, 35.36, 1
23.03, 35.41, 1
20.28, 33.19, 0
17.67, 32.67, 0
20.8, 32.49, 0
20.1, 31.19, 0
20.39, 32.09, 0
23.87, 35.45, 1
26.39, 35.62, 1
25.57, 35.67, 1
23.99, 35.06, 1
23.79, 35.11, 1
24.11, 31.42, 1
20.1, 33.07, 0
20.89, 32.64, 0
24.59, 35.61, 1
21.66, 36.82, 1
18.6, 32.61, 0
21.07, 32.22, 0
24.87, 36.15, 1
20.28, 33.85, 0
19.59, 30.59, 0
20.32, 32.3, 0
21.35, 33.95, 0
20.16, 31.64, 0
18.93, 33.33, 0
22.12, 34.69, 1
19.5, 31.14, 0
26.52, 34.7, 1
23.39, 36.77, 1
20.58, 30.77, 0
20.24, 33.88, 1
24.59, 33.62, 1
25.12, 36.2, 1
25.56, 36.39, 1
24.39, 33.28, 1
19.7, 30.71, 0
22.83, 37.16, 1
24.61, 36.1, 1
19.89, 30.79, 0
20.55, 31.19, 0
19.55, 34.6, 0
23.62, 36.99, 1
25.15, 33.89, 1
24.48, 35.32, 1
24.0, 35.62, 1
20.76, 32.46, 0
22.49, 36.79, 1
20.01, 32.15, 0
22.43, 34.79, 1
22.15, 37.13, 1
19.57, 30.33, 0
24.99, 34.11, 1
25.55, 33.53, 1
21.76, 33.06, 0
18.99, 30.91, 0
20.22, 33.42, 1
19.69, 31.93, 0
25.92, 35.22, 1
20.67, 32.57, 0
26.52, 35.18, 1
19.62, 31.43, 0
19.63, 33.17, 0
23.21, 30.89, 0
20.29, 32.05, 0
21.23, 36.51, 1
21.74, 36.51, 1
18.31, 32.22, 0
19.51, 29.9, 0
24.69, 33.1, 1
23.42, 30.79, 0
27.19, 36.27, 1
22.94, 37.08, 1
18.42, 31.8, 0
23.51, 34.66, 1
22.09, 31.29, 0
23.98, 36.02, 1
22.69, 35.56, 1
25.23, 32.64, 1
25.09, 34.59, 1
21.19, 35.4, 0
23.22, 30.99, 0
23.7, 32.53, 0
21.08, 32.03, 0
16.87, 28.98, 0
25.1, 33.3, 1
25.28, 35.13, 1
19.21, 31.71, 0
19.25, 32.59, 0
25.31, 35.52, 1
18.44, 30.83, 0
19.65, 32.83, 0
23.73, 40.15, 1
24.78, 34.15, 1
20.86, 29.03, 0
24.6, 32.79, 1
21.79, 32.34, 0
23.1, 34.77, 1
20.02, 32.22, 0
23.85, 36.14, 1
23.78, 36.04, 1
24.96, 33.92, 1
25.02, 34.28, 1
18.84, 35.03, 0
23.06, 35.04, 1
23.11, 35.53, 1
23.64, 38.19, 1
23.63, 34.53, 1
20.41, 32.26, 0
19.57, 31.94, 0
21.46, 31.66, 0
18.12, 32.0, 0
18.99, 32.39, 0
23.54, 32.48, 0
19.64, 30.29, 0
21.99, 33.65, 1
22.3, 32.73, 0
